id;id_cooperativa;cpf_cnpj;nome;data_nascimento
1;1;59852106885;Marizete Pereira;12/09/1965
2;5;85785243588;Augusto Meyer;18/06/1971
3;19;90852106567;Kriuze Maria Felicia;15/09/1996
4;5;09899910688;Jonathan Roque;14/04/1964
5;5;04568521068;Maria de Souza ;07/09/1992
6;5;55992106881;Leonardo Mario Gustavo da Silva;16/02/1965
8;19;59852061880;Paulo Alberto;21/03/1980
9;19;98050688855;Jeniffer Pinha;23/11/1994
15;19;12597452000158;Madelei Comércio de bebidas;04/11/2002
16;1;00090902000129;Junta Comercial do Paranhana;19/05/2003
17;19;03298521088;Marcio Faustino;30/05/2003
25;19;05090801068;Joana de Nóbrega;25/12/1979
31;19;85898821887;Carlos Alberto de Nóbrega;16/02/1992
